Epoch,Loss,Recall,NDCG,Training Time
0,529.5758847594261,0.001932789571583271,0.007790710777044296,105.22865915298462
1,334.0379064977169,0.0029289517551660538,0.009144928306341171,106.23261332511902
2,294.44008880853653,0.004076241981238127,0.012007292360067368,104.17979717254639
3,279.64448070526123,0.006289259064942598,0.018183419480919838,106.87389183044434
4,267.5447559952736,0.009783591143786907,0.026234373450279236,105.45336532592773
5,254.08009311556816,0.020134473219513893,0.054409921169281006,106.48814606666565
6,242.38543066382408,0.024368353188037872,0.06160914897918701,105.82197570800781
7,230.39483577013016,0.02568676695227623,0.06308838725090027,104.20879912376404
8,219.6035045236349,0.031000228598713875,0.06992015242576599,109.28620910644531
9,211.00808331370354,0.03176841884851456,0.07217901945114136,108.08592295646667
10,204.1025126874447,0.035374678671360016,0.08337649703025818,107.93685030937195
11,198.95074012875557,0.03728310763835907,0.08848818391561508,108.04426383972168
12,194.7253009825945,0.03806911036372185,0.08622512966394424,105.35744094848633
13,191.5721600651741,0.039465151727199554,0.09067818522453308,104.76116967201233
14,187.5833316296339,0.04225610941648483,0.09675585478544235,103.6863181591034
15,184.52218121290207,0.043042849749326706,0.09676103293895721,107.26488327980042
16,181.72599940001965,0.04412974789738655,0.10113635659217834,107.17105770111084
17,178.62726414203644,0.048653494566679,0.10926711559295654,107.43248009681702
18,175.85795967280865,0.04959395155310631,0.11417461186647415,107.74430251121521
19,173.40532492101192,0.051814354956150055,0.11832810938358307,103.98855423927307
20,171.4296143501997,0.05398479476571083,0.12203497439622879,103.64918613433838
21,169.0555268228054,0.054962158203125,0.12520112097263336,103.6275987625122
22,166.891724511981,0.05660296604037285,0.12502041459083557,103.6589891910553
23,165.08694790303707,0.05592793598771095,0.12684521079063416,103.61851382255554
24,163.49312596023083,0.0585259348154068,0.12906280159950256,103.41794633865356
25,161.718187302351,0.059523362666368484,0.13231588900089264,103.59260153770447
26,159.8351921737194,0.05852591618895531,0.13588710129261017,105.96882653236389
27,157.70255795121193,0.061587218195199966,0.14150339365005493,107.24114537239075
28,156.0216697603464,0.0636468157172203,0.14299164712429047,107.35988092422485
29,154.41846877336502,0.06434891372919083,0.1454417109489441,107.30366516113281
30,153.12129022181034,0.06632184982299805,0.15188910067081451,106.0332977771759
31,151.50988513231277,0.06773999333381653,0.15667535364627838,103.70275139808655
32,149.70018470287323,0.06919201463460922,0.16051344573497772,103.69431662559509
33,147.9421302229166,0.07137943059206009,0.16661076247692108,103.68841934204102
34,146.7064193189144,0.07182613015174866,0.16659684479236603,103.63297462463379
35,144.6154801696539,0.07497584074735641,0.17242738604545593,103.5425021648407
36,143.02284634113312,0.07490208745002747,0.17612247169017792,103.517329454422
37,141.48556300997734,0.07782147824764252,0.18273010849952698,103.46457600593567
38,140.1064099520445,0.07861047238111496,0.1833059936761856,103.81546592712402
39,138.670986443758,0.07993420213460922,0.18780550360679626,107.29277086257935
40,136.70228284597397,0.08188784867525101,0.1896199882030487,107.7490382194519
